x,y
-0.009302325581395543, -3.552713678800501e-15
0.07441860465116257, 0.22535211267605249
0.15813953488372068, 0.4788732394366164
0.269767441860465, 0.6760563380281646
0.3534883720930231, 0.9577464788732364
0.4232558139534883, 1.2394366197183047
0.5209302325581393, 1.4366197183098564
0.6186046511627903, 1.7464788732394325
0.7162790697674417, 1.9718309859154886
0.8139534883720927, 2.3380281690140805
0.8837209302325579, 2.4788732394366146
0.9813953488372089, 2.8169014084507022
1.065116279069767, 3.0140845070422486
1.1627906976744184, 3.3521126760563327
1.2604651162790694, 3.5211267605633765
1.3302325581395347, 3.8873239436619684
1.441860465116279, 4.1126760563380245
1.525581395348837, 4.3943661971830945
1.6093023255813952, 4.6478873239436584
1.6930232558139533, 4.957746478873236
1.7906976744186043, 5.1549295774647845
1.8744186046511624, 5.380281690140841
1.9720930232558143, 5.6901408450704185
2.083720930232558, 5.943661971830982
2.1534883720930234, 6.197183098591546
2.2511627906976743, 6.422535211267602
2.3348837209302324, 6.7605633802816865
2.4325581395348834, 6.9295774647887285
2.5162790697674415, 7.239436619718305
2.6139534883720925, 7.5211267605633765
2.6837209302325578, 7.633802816901406
2.7674418604651168, 7.97183098591549
2.8790697674418606, 8.225352112676054
2.9767441860465116, 8.563380281690138
3.0744186046511626, 8.73239436619718
3.1581395348837207, 9.070422535211264
3.227906976744185, 9.239436619718306
3.325581395348837, 9.549295774647884
3.4372093023255816, 9.802816901408448
3.5348837209302317, 9.97183098591549
3.576744186046512, 10.366197183098588
3.7302325581395346, 10.53521126760563
3.786046511627907, 10.73239436619718
3.869767441860465, 11.070422535211264
3.9534883720930223, 11.267605633802814
4.051162790697674, 11.549295774647884
4.148837209302326, 11.77464788732394
4.246511627906976, 11.999999999999996
4.330232558139535, 12.225352112676052
4.413953488372092, 12.507042253521124
4.483720930232558, 12.73239436619718
4.5813953488372094, 12.957746478873236
4.693023255813953, 13.154929577464786
4.7627906976744185, 13.49295774647887
4.860465116279069, 13.746478873239433
4.9581395348837205, 13.887323943661968
5.055813953488372, 14.197183098591548
